epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,279.443,0.61874,0.52417,1.11672,0.90563,0.95657,0.995,0.89146,0.5961,0.5207,1.11036,0.00111776,0.00111776,0.00111776
57,284.46,0.60801,0.51603,1.10853,0.81327,0.94444,0.97222,0.83706,0.61552,0.60791,1.11713,0.0011121,0.0011121,0.0011121
58,289.417,0.59192,0.5112,1.09409,0.83212,0.92706,0.93672,0.76911,0.67964,0.66734,1.22299,0.00110645,0.00110645,0.00110645
59,294.479,0.58386,0.52034,1.09244,0.89316,0.94254,0.98738,0.84598,0.6971,0.54666,1.33012,0.00110079,0.00110079,0.00110079
60,299.439,0.60547,0.5001,1.11797,0.90711,0.95201,0.995,0.84737,0.68136,0.50801,1.24503,0.00109513,0.00109513,0.00109513
61,304.46,0.60019,0.48907,1.09632,0.95825,0.96765,0.995,0.82378,0.71242,0.43358,1.23908,0.00108947,0.00108947,0.00108947
62,309.635,0.60024,0.50901,1.10616,0.83956,0.94168,0.98167,0.84348,0.64552,0.55525,1.14669,0.00108381,0.00108381,0.00108381
63,314.703,0.6094,0.50687,1.10661,0.87682,0.94346,0.995,0.87457,0.62445,0.50195,1.10171,0.00107815,0.00107815,0.00107815
64,319.667,0.59347,0.48668,1.08544,0.88095,0.89117,0.98738,0.86852,0.57053,0.66674,1.07835,0.00107249,0.00107249,0.00107249
65,324.594,0.60446,0.51066,1.10084,0.85537,0.9007,0.951,0.8513,0.6061,0.61876,1.1013,0.00106683,0.00106683,0.00106683
66,329.503,0.5998,0.48316,1.10515,0.95831,0.96868,0.995,0.86348,0.60917,0.38773,1.15955,0.00106118,0.00106118,0.00106118
67,334.446,0.58231,0.47256,1.09311,0.98658,0.99864,0.995,0.86958,0.61334,0.36187,1.19561,0.00105552,0.00105552,0.00105552
